,date,dayDeaths
228900,2021-02-27,8
232910,2021-02-28,2
236920,2021-03-01,1
240930,2021-03-02,6
244940,2021-03-03,7
248950,2021-03-04,8
252960,2021-03-05,5
256970,2021-03-06,2
260980,2021-03-07,8
264990,2021-03-08,3
269000,2021-03-09,3
273010,2021-03-10,4
277020,2021-03-11,10
281030,2021-03-12,5
285040,2021-03-13,2
289050,2021-03-14,6
293060,2021-03-15,3
297070,2021-03-16,8
301080,2021-03-17,2
305090,2021-03-18,2
309100,2021-03-19,3
313110,2021-03-20,3
317120,2021-03-21,1
321130,2021-03-22,7
325140,2021-03-23,3
329150,2021-03-24,2
333160,2021-03-25,7
337170,2021-03-26,5
341180,2021-03-27,1
345190,2021-03-28,4
349200,2021-03-29,3
353210,2021-03-30,2
357220,2021-03-31,4
361230,2021-04-01,2
365240,2021-04-02,3
369250,2021-04-03,4
373260,2021-04-04,4
377270,2021-04-05,4
381280,2021-04-06,4
385290,2021-04-07,2
389300,2021-04-08,6
393310,2021-04-09,1
397320,2021-04-10,3
401330,2021-04-11,2
405340,2021-04-12,5
409350,2021-04-13,7
413360,2021-04-14,6
417370,2021-04-15,2
421380,2021-04-16,4
425390,2021-04-17,3
429400,2021-04-18,4
433410,2021-04-19,1
437420,2021-04-20,4
441430,2021-04-21,2
445440,2021-04-22,3
449450,2021-04-23,1
453460,2021-04-24,1
457470,2021-04-25,4
461480,2021-04-26,3
465490,2021-04-27,1
469500,2021-04-28,4
473510,2021-04-29,3
477520,2021-04-30,3
481530,2021-05-01,2
485540,2021-05-02,1
489550,2021-05-03,6
493560,2021-05-04,7
497570,2021-05-05,4
501580,2021-05-06,9
505590,2021-05-07,5
509600,2021-05-08,9
513610,2021-05-09,1
517620,2021-05-10,4
521630,2021-05-11,5
525640,2021-05-12,7
529650,2021-05-13,2
533660,2021-05-14,3
537670,2021-05-15,4
541680,2021-05-16,3
545690,2021-05-17,1
549700,2021-05-18,8
553710,2021-05-19,4
557720,2021-05-20,6
561730,2021-05-21,4
565740,2021-05-22,5
569750,2021-05-23,3
573760,2021-05-24,4
577770,2021-05-25,2
581780,2021-05-26,3
585791,2021-05-27,3
589801,2021-05-28,5
593811,2021-05-29,6
597821,2021-05-30,2
601831,2021-05-31,4
605841,2021-06-01,2
609851,2021-06-02,3
613861,2021-06-03,1
617871,2021-06-04,2
621881,2021-06-05,2
625891,2021-06-06,1
629901,2021-06-07,1
633911,2021-06-08,2
637921,2021-06-09,2
641931,2021-06-10,2
645941,2021-06-11,1
649951,2021-06-12,3
653961,2021-06-13,3
657971,2021-06-14,4
661981,2021-06-15,1
665991,2021-06-16,1
670001,2021-06-17,2
674011,2021-06-18,1
678021,2021-06-19,5
682031,2021-06-20,2
686041,2021-06-21,2
690051,2021-06-22,1
694061,2021-06-23,1
698071,2021-06-24,1
702081,2021-06-25,3
706091,2021-06-26,1
710101,2021-06-27,2
714111,2021-06-28,2
718121,2021-06-29,1
722131,2021-06-30,3
726141,2021-07-01,3
730151,2021-07-02,1
734161,2021-07-03,1
738171,2021-07-04,2
742181,2021-07-05,4
746191,2021-07-06,1
750201,2021-07-07,1
754211,2021-07-08,2
758221,2021-07-09,2
762231,2021-07-10,5
766241,2021-07-11,1
770251,2021-07-12,2
774261,2021-07-13,2
778271,2021-07-14,2
782281,2021-07-15,1
786291,2021-07-16,4
790301,2021-07-17,2
794311,2021-07-18,1
798321,2021-07-19,1
802331,2021-07-20,1
806341,2021-07-21,3
810351,2021-07-22,3
814361,2021-07-23,2
818371,2021-07-24,5
822381,2021-07-25,4
826391,2021-07-26,2
830401,2021-07-27,4
834411,2021-07-28,2
838421,2021-07-29,4
842431,2021-07-30,6
846441,2021-07-31,3
850451,2021-08-01,1
854461,2021-08-02,5
858471,2021-08-03,2
862481,2021-08-04,3
866491,2021-08-05,4
870501,2021-08-06,3
874511,2021-08-07,5
878521,2021-08-08,4
882531,2021-08-09,9
886541,2021-08-10,1
890551,2021-08-11,3
894561,2021-08-12,6
898571,2021-08-13,4
902581,2021-08-14,8
906591,2021-08-15,11
910601,2021-08-16,6
914611,2021-08-17,5
918621,2021-08-18,13
922631,2021-08-19,6
926641,2021-08-20,5
930651,2021-08-21,13
934661,2021-08-22,7
938671,2021-08-23,6
942681,2021-08-24,9
946691,2021-08-25,20
950701,2021-08-26,8
954711,2021-08-27,11
958721,2021-08-28,3
962731,2021-08-29,5
966741,2021-08-30,1
970751,2021-08-31,7
974761,2021-09-01,11
978771,2021-09-02,5
982781,2021-09-03,7
986791,2021-09-04,6
990801,2021-09-05,6
994811,2021-09-06,3
998821,2021-09-07,4
1002831,2021-09-08,9
1006841,2021-09-09,5
1010851,2021-09-10,10
1014861,2021-09-11,1
1018871,2021-09-12,1
1022881,2021-09-13,7
1026891,2021-09-14,13
1030901,2021-09-15,6
1034911,2021-09-16,3
1038922,2021-09-17,5
1042933,2021-09-18,10
1046944,2021-09-19,5
1050955,2021-09-20,4
1054966,2021-09-21,6
1058977,2021-09-22,8
1062988,2021-09-23,7
1066999,2021-09-24,7
1071010,2021-09-25,9
1075021,2021-09-26,6
1079032,2021-09-27,8
1083043,2021-09-28,10
1087054,2021-09-29,7
1091065,2021-09-30,16
1095076,2021-10-01,7
1099087,2021-10-02,3
1103098,2021-10-03,6
1107109,2021-10-04,11
1111120,2021-10-05,12
1115131,2021-10-06,8
1119143,2021-10-07,10
1123155,2021-10-08,6
